Price;SqFt;Bedrooms;Bathrooms
114300;1790;2;2
114200;2030;4;2
114800;1740;3;2
94700;1980;3;2
119800;2130;3;3
114600;1780;3;2
151600;1830;3;3
150700;2160;4;2
119200;2110;4;2
104000;;3;3
132500;2030;3;2
123000;1870;2;2
102600;1910;3;2
126300;2150;3;3
176800;2590;4;3
145800;1780;4;2
147100;2190;3;3
83600;1990;3;3
111400;1700;2;2
167200;1920;3;3
116200;1790;3;2
113800;2000;3;2
;1690;3;2
106100;1820;3;2
156400;2210;4;3
149300;2290;4;3
137000;2000;4;2
99300;1700;3;2
69100;1600;2;2
188000;2040;4;3
182000;2250;4;3
112300;1930;2;2
135000;2250;;3
139600;2280;5;3
117800;2000;;2
117100;2080;3;3
117500;1880;2;2
147000;2420;4;3
131300;1720;3;2
108200;1740;3;2
106600;1560;2;2
133600;1840;4;3
105600;1990;2;2
154000;1920;3;2
166500;1940;3;3
103200;1810;3;2
129800;1990;2;3
90300;2050;3;2
115900;1980;2;2
107500;1700;3;2
151100;2100;3;2
91100;1860;2;2
117400;2150;2;3
130800;2100;3;2
81300;1650;3;2
125700;1720;2;2
140900;2190;3;2
152300;2240;4;3
138100;1840;3;3
155400;;4;2
;2200;3;3
100900;1610;2;2
161300;2220;4;3
120500;1910;2;3
130300;1860;3;2
111100;1450;2;2
126200;2210;3;3
151900;2040;4;3
93600;2140;3;2
165600;2080;4;3
166700;1950;3;3
157600;2160;4;2
107300;1650;3;2
125700;2040;3;3
144200;2140;3;3
106900;1900;2;2
129800;1930;3;2
176500;2280;4;3
121300;2130;3;2
143600;1780;4;2
143400;2190;3;3
184300;2140;4;3
164800;2050;2;2
147700;2410;3;3
90500;1520;2;2
188300;2250;4;3
102700;1900;4;2
172500;1880;3;3
127700;1930;3;3
97800;2010;2;2
143100;1920;4;2
116500;2150;3;2
142600;2110;3;2
157100;2080;3;3
160600;2150;4;3
152500;1970;2;2
133300;2440;3;3
126800;2000;2;2
145500;2060;3;2
171000;2080;3;3
103200;2010;3;2
123100;2260;3;3
136800;2410;3;3
211200;2440;4;3
82300;1910;3;2
146900;2530;4;
108500;2130;3;2
134000;1890;3;2
117000;1990;3;3
108700;2110;3;2
111600;1710;2;2
114900;1740;2;2
123600;1940;2;2
115700;2000;3;2
124500;2010;4;3
102500;1900;3;3
199500;2290;5;4
117800;1920;3;
150200;1950;3;2
109700;1920;2;2
110400;1930;2;3
105600;1930;3;3
144800;2060;2;2
119700;1900;3;3
147900;2160;4;3
113500;2070;2;2
149900;2020;3;3
124600;2250;3;3
